Ier_ID,Parks,TranspVeids,GarNr,MarsrNos,TMarsruts,Virziens,ValidTalonaId,Laiks
8673674,2 parks,Trolejbuss,27635,Jugla 3 -- Ziepniekkalns,Tr 4,Forth,3640749,31.10.2024 00:13:29
8676249,7 parks,Autobuss,78931,Imanta  - Jugla,A 21,Forth,3624884,31.10.2024 00:09:07
8684606,1 parks,Trolejbuss,17769,Latvijas Universitāte - Ķengarags,Tr 15,Back,3633922,31.10.2024 00:38:59
8684625,2 parks,Trolejbuss,27167,Jugla 3 -- Ziepniekkalns,Tr 4,Back,3633913,31.10.2024 00:34:25
8684837,6 parks,Autobuss,64083,Mežciems  -  Šampēteris,A 63,Forth,3633796,31.10.2024 00:15:48
8702501,6 parks,Autobuss,68141,Imanta  - Jugla,A 21,Back,3595938,31.10.2024 00:06:27
8703187,6 parks,Autobuss,68141,Imanta  - Jugla,A 21,Back,3621249,31.10.2024 00:06:22
8704985,7 parks,Autobuss,78692,Abrenes iela - Lidosta,A 22,Forth,3605881,31.10.2024 00:00:54
8705304,5 parks,Tramvajs,58523,Imanta - Jugla,Tm 1,Back,3619983,31.10.2024 00:36:33
8708805,7 parks,Autobuss,78931,Imanta  - Jugla,A 21,Forth,3591499,31.10.2024 00:10:15
8710265,7 parks,Autobuss,78931,Imanta  - Jugla,A 21,Forth,3590682,31.10.2024 00:10:29
8711126,2 parks,Trolejbuss,27167,Jugla 3 -- Ziepniekkalns,Tr 4,Forth,3601519,31.10.2024 00:00:44
8717802,7 parks,Autobuss,78931,Imanta  - Jugla,A 21,Forth,3610121,31.10.2024 00:10:11
8717823,7 parks,Autobuss,78931,Imanta  - Jugla,A 21,Forth,3610106,31.10.2024 00:10:33
8723908,5 parks,Tramvajs,57517,Ausekļa iela - Ķengarags,Tm 7,Back,3605704,31.10.2024 00:12:54
8727048,2 parks,Trolejbuss,29375,Centrāltirgus - Mežciems,Tr 35,Forth,3603826,31.10.2024 00:08:51
8742485,6 parks,Autobuss,68141,Imanta  - Jugla,A 21,Back,3580042,31.10.2024 00:10:21
8746084,1 parks,Trolejbuss,17834,Centrāltirgus - Sarkandaugava,Tr 3,Forth,3577757,31.10.2024 00:08:47
8748257,6 parks,Autobuss,68141,Imanta  - Jugla,A 21,Back,3590070,31.10.2024 00:13:53
8769721,6 parks,Autobuss,68141,Imanta  - Jugla,A 21,Back,3575849,31.10.2024 00:04:15
8771871,1 parks,Trolejbuss,17812,Jugla 3 -- Ziepniekkalns,Tr 4,Forth,3574459,31.10.2024 00:43:20
8772047,3 parks,Tramvajs,30286,Iļģuciems - Mīlgrāvis,Tm 5,Back,3549730,31.10.2024 00:10:30
8773281,1 parks,Trolejbuss,17627,Pļavnieki - Šmerlis,Tr 16,Forth,3573467,31.10.2024 00:10:26
8778167,2 parks,Trolejbuss,27189,Centrālā stacija - Purvciems,Tr 23,Back,3570217,31.10.2024 00:02:48
8778593,1 parks,Trolejbuss,17834,Centrāltirgus - Sarkandaugava,Tr 3,Forth,3569977,31.10.2024 00:07:14
8785355,1 parks,Trolejbuss,17627,Pļavnieki - Šmerlis,Tr 16,Forth,3565163,31.10.2024 00:23:56
8789789,7 parks,Autobuss,78931,Imanta  - Jugla,A 21,Forth,3561859,31.10.2024 00:10:11
8791146,5 parks,Tramvajs,57615,Ausekļa iela - Ķengarags,Tm 7,Back,3548174,31.10.2024 00:38:37
8798817,2 parks,Trolejbuss,27167,Jugla 3 -- Ziepniekkalns,Tr 4,Back,3556050,31.10.2024 00:35:26
8799712,7 parks,Autobuss,78692,Abrenes iela - Lidosta,A 22,Forth,3395768,31.10.2024 00:39:50
8800152,3 parks,Tramvajs,35272,Ausekļa iela - Mežaparks,Tm 11,Back,3555215,31.10.2024 00:04:27
8807821,1 parks,Trolejbuss,17878,Centrāltirgus - Sarkandaugava,Tr 3,Forth,3549834,31.10.2024 00:26:49
8812916,7 parks,Autobuss,71018,Pētersalas - Pļavnieku kapi,A 20,Back,3546386,31.10.2024 00:20:05
8821239,5 parks,Tramvajs,58523,Imanta - Jugla,Tm 1,Back,3515862,31.10.2024 00:13:06
8827952,2 parks,Trolejbuss,27635,Jugla 3 -- Ziepniekkalns,Tr 4,Forth,3534215,31.10.2024 00:00:02
8829558,1 parks,Trolejbuss,17627,Pļavnieki - Šmerlis,Tr 16,Forth,3519549,31.10.2024 00:12:31
8832799,6 parks,Autobuss,67122,Mežciems  -  Šampēteris,A 63,Forth,3529962,31.10.2024 00:55:16
8832939,6 parks,Autobuss,67122,Mežciems  -  Šampēteris,A 63,Forth,3529848,31.10.2024 00:43:56
